"state_or_region","year","price_sector","price","renewable_sector","renewable_generation","total_generation_sector","total_generation","dc_sector","data_center_facility_count","data_center_estimated_power_mw","data_center_selected_power_mw","renewable_share"
Arizona,2025,commercial,12.3975,commercial,20.0,commercial,148.0,all_sectors,20,891.46,969.02,0.13513513513513514
California,2025,commercial,26.1925,commercial,858.0,commercial,2276.0,all_sectors,12,295.95,379.98,0.37697715289982425
Colorado,2025,commercial,12.44,commercial,8.0,commercial,23.0,all_sectors,2,45.11,45.0,0.34782608695652173
Connecticut,2025,commercial,23.155833333333334,commercial,25.0,commercial,302.0,all_sectors,1,32.0,32.0,0.08278145695364239
Delaware,2025,commercial,12.648333333333333,commercial,8.0,commercial,8.0,all_sectors,2,74.67,80.0,1.0
Florida,2025,commercial,11.481666666666667,commercial,414.0,commercial,1023.0,all_sectors,1,10.6,12.0,0.4046920821114369
Georgia,2025,commercial,11.478333333333333,commercial,5.0,commercial,5.0,all_sectors,11,607.11,881.3199999999999,1.0
Idaho,2025,commercial,9.250833333333334,commercial,36.0,commercial,74.0,all_sectors,1,100.0,100.0,0.4864864864864865
Illinois,2025,commercial,13.058333333333332,commercial,9.0,commercial,451.0,all_sectors,15,817.59,1009.36,0.019955654101995565
Indiana,2025,commercial,13.8825,commercial,2.0,commercial,188.0,all_sectors,5,251.97,371.0,0.010638297872340425
Iowa,2025,commercial,10.9925,commercial,6.0,commercial,110.0,all_sectors,4,158.09,158.09,0.05454545454545454
Maryland,2025,commercial,14.715000000000002,commercial,18.0,commercial,331.0,all_sectors,1,61.69,72.0,0.054380664652567974
Massachusetts,2025,commercial,23.081666666666667,commercial,423.0,commercial,1636.0,all_sectors,4,32.49,29.0,0.25855745721271395
Michigan,2025,commercial,14.466666666666667,commercial,45.0,commercial,728.0,all_sectors,1,1.06,1.0,0.061813186813186816
Minnesota,2025,commercial,12.237499999999999,commercial,151.0,commercial,309.0,all_sectors,2,8.81,5.0,0.4886731391585761
Missouri,2025,commercial,10.5275,commercial,43.0,commercial,205.0,all_sectors,3,246.29,212.0,0.2097560975609756
Nebraska,2025,commercial,8.77,commercial,11.0,commercial,12.0,all_sectors,1,40.0,40.0,0.9166666666666666
Nevada,2025,commercial,9.338333333333333,commercial,56.0,commercial,117.0,all_sectors,3,103.76,166.56,0.47863247863247865
New Jersey,2025,commercial,16.563333333333333,commercial,519.0,commercial,1230.0,all_sectors,3,114.83000000000001,47.0,0.4219512195121951
New York,2025,commercial,20.986666666666668,commercial,615.0,commercial,2081.0,all_sectors,1,23.16,24.0,0.2955309947140798
North Carolina,2025,commercial,10.279166666666667,commercial,113.0,commercial,285.0,all_sectors,4,251.95,272.49,0.39649122807017545
Ohio,2025,commercial,11.584166666666667,commercial,21.0,commercial,268.0,all_sectors,12,441.51,649.97,0.07835820895522388
Oklahoma,2025,commercial,9.001666666666667,commercial,-1.0,commercial,-3.0,all_sectors,1,48.84,48.84,0.3333333333333333
Oregon,2025,commercial,10.5625,commercial,35.0,commercial,71.0,all_sectors,2,96.89,102.5,0.49295774647887325
Pennsylvania,2025,commercial,12.435833333333333,commercial,224.0,commercial,606.0,all_sectors,7,216.70000000000002,222.849,0.3696369636963696
Texas,2025,commercial,8.639166666666666,commercial,27.0,commercial,790.0,all_sectors,27,739.72,1700.27,0.03417721518987342
Utah,2025,commercial,10.006666666666666,commercial,0.0,commercial,141.0,all_sectors,3,42.12,508.12,0.0
Virginia,2025,commercial,9.544166666666667,commercial,396.0,commercial,880.0,all_sectors,40,1812.73,2078.91,0.45
Washington,2025,commercial,10.959166666666667,commercial,11.0,commercial,13.0,all_sectors,1,15.66,15.66,0.8461538461538461
Wisconsin,2025,commercial,13.050833333333332,commercial,66.0,commercial,135.0,all_sectors,1,0.6,0.5,0.4888888888888889
